contract,block,event_name,event_data,transaction_hash,gas,gas_price,log_index,block_timestamp
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413778,Swap,"{""sender"": ""0x1111111254EEB25477B68fb85Ed929f73A960582"", ""recipient"": ""0x74de5d4FCbf63E00296fd95d33236B9794016631"", ""amount0"": 522074049, ""amount1"": -522077421, ""sqrtPriceX96"": 79232380004942737492761796035, ""liquidity"": 149639972587634595, ""tick"": 1}",0x2ad5aa5da22c3feb553937436bced64b803773df3b5aa2ee3f7073de03019276,280648,4173173307,119,2024-07-29 17:40:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413784,Swap,"{""sender"": ""0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD"", ""recipient"": ""0x6eF7D514d75b5a5a3C500Dba1B161A81E842e7a4"", ""amount0"": 656585858, ""amount1"": -656590094, ""sqrtPriceX96"": 79232379657305500092220338402, ""liquidity"": 149639972587634595, ""tick"": 1}",0xa52ab05a31691d1f71ef873026b0e389250aee244962e4e85d2c4d28a432f5e4,457541,5637773606,43,2024-07-29 17:41:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413795,Swap,"{""sender"": ""0x2E27b600b8479aBFA85603Fc8247a247A7613f84"", ""recipient"": ""0x831BF48183B999fDe45294b14B55199072f0801B"", ""amount0"": -3655032456, ""amount1"": 3655787234, ""sqrtPriceX96"": 79232381592699739561848787394, ""liquidity"": 149639972587634595, ""tick"": 1}",0x3a3a54b7e85bd2ac06eed4c9d8e89141d4e8b4501342027bb38f0b26aa7e48cf,208080,6365069613,94,2024-07-29 17:44:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413799,Swap,"{""sender"": ""0xfb00001B342D0093370d0036634600CB4CE68d00"", ""recipient"": ""0x9008D19f58AAbD9eD0D60971565AA8510560ab41"", ""amount0"": -4989930747, ""amount1"": 4990961475, ""sqrtPriceX96"": 79232384234942700906647038400, ""liquidity"": 149639972587634595, ""tick"": 1}",0x08356e280fbcf6b913c7a2b29e3628cf5e5a27217c1dcf6bc8f042f3b64e4ea8,2350322,3780775771,81,2024-07-29 17:44:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413802,Swap,"{""sender"": ""0x0000000009b1Fd739Aea4B4581034DE77bE8e722"", ""recipient"": ""0x0000000009b1Fd739Aea4B4581034DE77bE8e722"", ""amount0"": 4399971252, ""amount1"": -4400000000, ""sqrtPriceX96"": 79232381905325092226480960491, ""liquidity"": 149639972587634595, ""tick"": 1}",0x32815812260bcd665021f9abac6d0c59b447f98d6275afa1d7d7fe23344b7971,477492,3395792179,107,2024-07-29 17:45:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413803,Swap,"{""sender"": ""0xE592427A0AEce92De3Edee1F18E0157C05861564"", ""recipient"": ""0x4a14347083B80E5216cA31350a2D21702aC3650d"", ""amount0"": 1066757318, ""amount1"": -1066764248, ""sqrtPriceX96"": 79232381340517642596718851382, ""liquidity"": 149639972587634595, ""tick"": 1}",0xfa23618c95a4af899246271ee3ba74259095a7c1dbe939ebd4f29731e20df1a0,1000000,6228972898,233,2024-07-29 17:45:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413805,Swap,"{""sender"": ""0x24902AA0cf0000a08c0EA0b003B0c0bF600000E0"", ""recipient"": ""0x24902AA0cf0000a08c0EA0b003B0c0bF600000E0"", ""amount0"": -3012877472, ""amount1"": 3013499758, ""sqrtPriceX96"": 79232382935881294624505289292, ""liquidity"": 149639972587634595, ""tick"": 1}",0xc249e2bc607f6d8edd3e17ed91b45f9c39fdc2b930414f0e1e6b7d8af269d0d4,608175,3466065653,295,2024-07-29 17:46:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413806,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0x3Df6Bb62348D786A50b635b638fF99D850f98211"", ""amount0"": -2444800816, ""amount1"": 2445305860, ""sqrtPriceX96"": 79232384230439913624351870952, ""liquidity"": 149639972587634595, ""tick"": 1}",0xe1362ae1e7441cdb0d45f04b79fc96078bf76b1e2a695ee795b581619a3a7495,1104307,3546239175,144,2024-07-29 17:46:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413806,Swap,"{""sender"": ""0x00000000009E50a7dDb7a7B0e2ee6604fd120E49"", ""recipient"": ""0x1445F32D1A74872bA41f3D8cF4022E9996120b31"", ""amount0"": -1645576320, ""amount1"": 1645916306, ""sqrtPriceX96"": 79232385101797225259149092999, ""liquidity"": 149639972587634595, ""tick"": 1}",0xe1362ae1e7441cdb0d45f04b79fc96078bf76b1e2a695ee795b581619a3a7495,1104307,3546239175,151,2024-07-29 17:46:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413810,Swap,"{""sender"": ""0x5079FC00f00F30000E0c8C083801cFdE000008b6"", ""recipient"": ""0x5079FC00f00F30000E0c8C083801cFdE000008b6"", ""amount0"": -1091673484, ""amount1"": 1091899050, ""sqrtPriceX96"": 79232385679854698523242376600, ""liquidity"": 149639972587634595, ""tick"": 1}",0x73893193bbb19cc67e2678b389d0c0124f404e59036cd490dec651a8fdbf7652,1248261,3428353425,305,2024-07-29 17:47:11
